Date,Consommation_GW
2012-01-01,101573.076
2012-02-01,108364.07
2012-03-01,85891.077
2012-04-01,79899.382
2012-05-01,70077.667
2012-06-01,66010.797
2012-07-01,67793.533
2012-08-01,63979.369
2012-09-01,66133.646
2012-10-01,76770.586
2012-11-01,88070.553
2012-12-01,98650.069
2013-01-01,106591.334
2013-02-01,98672.49
2013-03-01,98507.235
2013-04-01,80283.474
2013-05-01,73338.475
2013-06-01,65669.687
2013-07-01,69106.839
2013-08-01,62780.253
2013-09-01,66065.079
2013-10-01,73646.499
2013-11-01,90107.796
2013-12-01,99601.322
2014-01-01,98093.792
2014-02-01,88556.174
2014-03-01,85846.345
2014-04-01,72195.686
2014-05-01,68968.95
2014-06-01,64773.8
2014-07-01,67382.343
2014-08-01,61498.859
2014-09-01,66078.196
2014-10-01,72200.134
2014-11-01,80801.927
2014-12-01,98300.619
2015-01-01,104474.812
2015-02-01,96789.038
2015-03-01,91043.796
2015-04-01,73362.444
2015-05-01,67464.916
2015-06-01,66102.431
2015-07-01,69323.709
2015-08-01,62691.254
2015-09-01,66633.216
2015-10-01,77838.862
2015-11-01,81691.874
2015-12-01,88889.267
2016-01-01,99742.876
2016-02-01,92353.333
2016-03-01,94109.461
2016-04-01,77772.517
2016-05-01,69077.312
2016-06-01,65300.011
2016-07-01,66958.327
2016-08-01,63774.773
2016-09-01,66070.395
2016-10-01,76630.363
2016-11-01,88083.221
2016-12-01,100768.274
2017-01-01,114163.009
2017-02-01,87218.674
2017-03-01,85058.456
2017-04-01,72857.148
2017-05-01,69655.244
2017-06-01,66312.365
2017-07-01,67258.207
2017-08-01,63701.938
2017-09-01,66853.003
2017-10-01,72726.491
2017-11-01,89402.132
2017-12-01,102882.628
2018-01-01,96872.659
2018-02-01,99815.954
2018-03-01,96539.027
2018-04-01,72113.903
2018-05-01,67565.345
2018-06-01,64823.697
2018-07-01,68712.421
2018-08-01,64392.236
2018-09-01,64955.435
2018-10-01,73706.08
2018-11-01,87004.886
2018-12-01,94540.363
2019-01-01,107594.859
2019-02-01,88083.933
2019-03-01,85884.411
2019-04-01,75378.025
2019-05-01,70769.31
2019-06-01,64772.135
2019-07-01,68757.094
2019-08-01,62634.556
2019-09-01,64016.516
2019-10-01,72257.462
2019-11-01,87398.139
2019-12-01,93407.844
2020-01-01,98880.317
2020-02-01,86231.667
2020-03-01,82566.154
2020-04-01,60943.6
2020-05-01,60948.453
2020-06-01,61213.145
2020-07-01,65517.378
2020-08-01,62378.181
2020-09-01,64222.979
2020-10-01,76205.679
2020-11-01,79271.519
2020-12-01,94786.269
2021-01-01,105462.496
2021-02-01,85296.291
2021-03-01,86294.736
2021-04-01,74628.137
2021-05-01,69042.873
2021-06-01,63359.441
2021-07-01,65195.558
2021-08-01,61095.998
2021-09-01,64161.309
2021-10-01,73117.128
2021-11-01,88412.99
2021-12-01,98325.92
